section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (16),tooltip-row (27),tooltip-row (29),tooltip-row (37),tooltip-row (39),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59),ui-pillbox-summary (7),ui-state-default (43),ui-state-default (44),ui-state-default (45),ui-state-default (46),ui-state-default (47),ui-state-default (48),meeting (31),meeting (32),meeting (33),meeting (34),meeting (35),tooltip-row (61),tooltip-row (62),tooltip-row (63),tooltip-row (64),tooltip-row (65),tooltip-row (66),tooltip-row (67),tooltip-row (68),tooltip-row (69),tooltip-row (70),ui-pillbox-summary (8),ui-state-default (50),ui-state-default (51),ui-state-default (52),ui-state-default (53),ui-state-default (54),ui-state-default (55),meeting (36),meeting (37),meeting (38),meeting (39),meeting (40),tooltip-row (71),tooltip-row (72),tooltip-row (73),tooltip-row (74),tooltip-row (75),tooltip-row (76),tooltip-row (77),tooltip-row (78),tooltip-row (79),tooltip-row (80),readonly (11),readonly (12),status-full,status-waitlist
Lab for BIO 1100,Lab,Biology - CPS,1101,04,1,40244,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,19 of 30 seats remain.,19,,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Biology 2,Lecture,Biology - CPS,1200,01,3,40006,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Kariotis Hall,Room: 302,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 24 seats remain.
5 of 5 waitlist seats remain.",7,5,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Biology 2,Lecture,Biology - CPS,1200,03,3,40160,Saturday,M,T,W,T,F,S,08:30 AM - 11:15 AM,Building: Ryder Hall,Room: 452,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,18 of 24 seats remain.,18,,NUpath Natural/Designed World,08,30,11,15,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principles of Biology 2,Lecture,Biology - CPS,1200,04,3,40141,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1200,Lab,Biology - CPS,1201,01,1,40007,Monday,T,W,T,F,S,M,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 615,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"6 of 24 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1200,Lab,Biology - CPS,1201,03,1,40134,Saturday,M,T,W,T,F,S,11:30 AM - 01:00 PM,Building: Behrakis Health Sciences Cntr,Room: 615,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"18 of 24 seats remain.
5 of 5 waitlist seats remain.",18,5,CPS-Undergraduate Labs,11,30,01,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1200,Lab,Biology - CPS,1201,04,1,40142,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Anatomy and Physiology 1,Lecture,Biology - CPS,1600,01,3,40008,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 243,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"9 of 24 seats remain.
10 of 10 waitlist seats remain.",9,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1600,Lab,Biology - CPS,1601,01,1,40009,Tuesday,M,W,T,F,S,T,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 720,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"10 of 24 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Anatomy and Physiology 2,Lecture,Biology - CPS,1700,02,3,40108,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 128,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"14 of 22 seats remain.
10 of 10 waitlist seats remain.",14,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Anatomy and Physiology 2,Lecture,Biology - CPS,1700,03,3,40245,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1700,Lab,Biology - CPS,1701,02,1,40143,Thursday,M,T,W,F,S,T,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 720,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"17 of 24 seats remain.
5 of 5 waitlist seats remain.",17,5,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 1700,Lab,Biology - CPS,1701,03,1,40246,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,21 of 30 seats remain.,21,,CPS-Undergraduate Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbiology,Lecture,Biology - CPS,2100,01,3,40110,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 202,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 24 seats remain.,10 of 10 waitlist seats remain.
Lab for BIO 2100,Lab,Biology - CPS,2101,01,1,40111,Monday,T,W,T,F,S,M,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 710,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"3 of 24 seats remain.
10 of 10 waitlist seats remain.",3,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Biology,Lecture,Biology - CPS,2300,01,3,40012,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"9 of 30 seats remain.
10 of 10 waitlist seats remain.",9,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetics and Molecular Biology,Lecture,Biology - CPS,2500,01,3,40010,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 207,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"7 of 24 seats remain.
10 of 10 waitlist seats remain.",7,10,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 2500,Lab,Biology - CPS,2501,01,1,40011,Wednesday,M,T,T,F,S,W,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 715,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"8 of 24 seats remain.
10 of 10 waitlist seats remain.",8,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biochemistry,Lecture,Biology - CPS,3100,01,3,40112,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Snell Library,Room: 011,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"2 of 21 seats remain.
10 of 10 waitlist seats remain.",2,10,NUpath Writing Intensive,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biochemistry,Lecture,Biology - CPS,3100,02,3,40197,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Ryder Hall,Room: 207,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"14 of 20 seats remain.
5 of 5 waitlist seats remain.",14,5,NUpath Writing Intensive,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 3100,Lab,Biology - CPS,3101,01,1,40113,Tuesday,M,W,T,F,S,T,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 705,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"12 of 20 seats remain.
10 of 10 waitlist seats remain.",12,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BIO 3100,Lab,Biology - CPS,3101,02,1,40198,Thursday,M,T,W,F,S,T,08:30 PM - 10:00 PM,Building: Behrakis Health Sciences Cntr,Room: 705,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"14 of 20 seats remain.
5 of 5 waitlist seats remain.",14,5,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Parasitology,Lecture,Biology - CPS,4215,01,3,40121,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,17 of 30 seats remain.,17,,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotechnology Lab Skills,Lab,Biotechnology,5145,01,1,40324,Monday,T,W,T,F,S,M,10:00 AM - 02:00 PM,Building: Behrakis Health Sciences Cntr,Room: 620,Start Date: 01/27/2025,End Date: 01/27/2025,Boston,6 of 7 seats remain.,6,,GSSC Biotechnology Program,10,00,02,00,,Monday,S,M,T,W,T,F,10:00 AM - 02:00 PM,10,00,02,00,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 620,Room:,Start Date: 03/17/2025,Start Date:,End Date: 03/17/2025,End Date:,M,Start Date: 04/14/2025,End Date: 04/14/2025,Start Date: 02/24/2025,End Date: 02/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotechnology Lab Skills,Lab,Biotechnology,5145,02,1,40346,Monday,T,W,T,F,S,M,05:30 PM - 09:30 PM,Building: Science Engineering Complex,Room: 148,Start Date: 02/03/2025,End Date: 02/03/2025,Boston,7 of 8 seats remain.,7,,GSSC Biotechnology Program,05,30,09,30,,Monday,S,M,T,W,T,F,05:30 PM - 09:30 PM,05,30,09,30,Type: Class,Type:,Building: Science Engineering Complex,Building:,Room: 148,Room:,Start Date: 03/24/2025,Start Date:,End Date: 03/24/2025,End Date:,M,Start Date: 04/07/2025,End Date: 04/07/2025,Start Date: 02/24/2025,End Date: 02/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Biotechnology Enterprise,Lecture,Biotechnology,5219,04,2,40232,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 4 seats remain.,
"The Role of Patents in the Biotechnology Industry, Past and Future",Lecture,Biotechnology,5220,01,1,40417,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 7 seats remain.,1,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientific Communication and Problem Solving in Biotechnology,Lecture,Biotechnology,5401,01,3,40542,Thursday,M,T,W,F,S,T,06:00 PM - 08:30 PM,Building: Ryder Hall,Room: 264,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,2 of 4 seats remain.,2,,GSSC Biotechnology Program,06,00,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scientific Communication and Problem Solving in Biotechnology,Lecture,Biotechnology,5401,03,3,40569,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 3 seats remain.,
Protein Principles in Biotechnology,Lecture,Biotechnology,5621,01,3,40415,Wednesday,M,T,T,F,S,W,06:00 PM - 08:30 PM,Building: Snell Library,Room: 111,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,,GSSC Biotechnology Program,06,00,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 1 seats remain.,
Protein Principles in Biotechnology,Lecture,Biotechnology,5621,02,3,40416,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,,FULL,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 5 seats remain.,
Cell Culture Applications for Biopharmaceuticals,Lecture,Biotechnology,5630,01,2,40471,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,2 of 4 seats remain.,2,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molecular Approaches in Biotechnology,Lecture,Biotechnology,5750,01,3,40472,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,2 of 6 seats remain.,2,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molecular Approaches in Biotechnology,Lecture,Biotechnology,5750,02,3,40473,Monday,T,W,T,F,S,M,06:00 PM - 08:30 PM,Building: Snell Library,Room: 125,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,1 of 2 seats remain.,1,,GSSC Biotechnology Program,06,00,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimental Design and Biostatistics,Lecture,Biotechnology,6214,04,2,40240,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,1 of 8 seats remain.,1,,GSSC Biotechnology Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immunology,Lecture,Biotechnology - CPS,3210,01,4,40480,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genomics, Proteomics, and Bioinformatics",Lecture,Biotechnology - CPS,4200,01,3,40523,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Lowell Institute School,,,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotechnology and Pharmaceutical Processing,Lecture,Biotechnology - CPS,4300,01,3,40199,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 209,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"16 of 24 seats remain.
5 of 5 waitlist seats remain.",16,5,Lowell Institute School,05,50,08,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for BTC 4300,Lab,Biotechnology - CPS,4301,01,1,40200,Monday,T,W,T,F,S,M,08:30 PM - 10:00 PM,Building: Ryder Hall,Room: 452,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"15 of 24 seats remain.
5 of 5 waitlist seats remain.",15,5,Lowell Institute School,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quality Control and Validation Issues,Lecture,Biotechnology - CPS,4450,01,3,40481,None,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotechnology Senior Project,Seminar,Biotechnology - CPS,4850,01,3,40227,Tuesday,M,W,T,F,S,T,05:50 PM - 08:20 PM,Building: Behrakis Health Sciences Cntr,Room: 204,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"13 of 28 seats remain.
5 of 5 waitlist seats remain.",13,5,NUpath Capstone Experience,05,50,08,20,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowell Institute School,XN Experiential Project,,
General Chemistry 1,Lecture,Chemistry - CPS,1100,01,3,40013,Monday,T,W,T,F,S,M,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 243,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"3 of 24 seats remain.
10 of 10 waitlist seats remain.",3,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Chemistry 1,Lecture,Chemistry - CPS,1100,02,3,40506,Wednesday,M,T,T,F,S,W,05:50 PM - 08:35 PM,Building: Snell Library,Room: 001,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,12 of 20 seats remain.,12,,NUpath Natural/Designed World,05,50,08,35,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 1100,Lab,Chemistry - CPS,1101,01,1,40014,Monday,T,W,T,F,S,M,08:30 PM - 10:00 PM,Building: EXP,Room: 342,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"2 of 24 seats remain.
10 of 10 waitlist seats remain.",2,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 1100,Lab,Chemistry - CPS,1101,02,1,40507,Wednesday,M,T,T,F,S,W,08:45 PM - 10:15 PM,Building: EXP,Room: 342,Start Date: 01/06/2025,End Date: 02/25/2025,Boston,10 of 20 seats remain.,10,,CPS-Undergraduate Labs,08,45,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Chemistry 2,Lecture,Chemistry - CPS,1200,02,3,40116,Thursday,M,T,W,F,S,T,05:50 PM - 08:20 PM,Building: Richards Hall,Room: 237,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"18 of 24 seats remain.
10 of 10 waitlist seats remain.",18,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Chemistry 2,Lecture,Chemistry - CPS,1200,03,3,40144,Wednesday,M,T,T,F,S,W,05:50 PM - 08:20 PM,Building: Hastings Suite,Room: 209,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,,FULL,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FULL: 0 of 25 seats remain.,10 of 10 waitlist seats remain.
General Chemistry 2,Lecture,Chemistry - CPS,1200,04,3,40514,Wednesday,M,T,T,F,S,W,05:50 PM - 08:35 PM,Building: Shillman Hall,Room: 425,Start Date: 02/26/2025,End Date: 04/26/2025,Boston,"20 of 30 seats remain.
5 of 5 waitlist seats remain.",20,5,NUpath Natural/Designed World,05,50,08,35,Lowell Institute School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CHM 1200,Lab,Chemistry - CPS,1201,02,1,40099,Thursday,M,T,W,F,S,T,08:30 PM - 10:00 PM,Building: EXP,Room: 342,Start Date: 01/06/2025,End Date: 04/26/2025,Boston,"17 of 24 seats remain.
10 of 10 waitlist seats remain.",17,10,CPS-Undergraduate Labs,08,30,10,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
