section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (10),readonly (11),readonly (12),status-full,status-waitlist
Computer Networking and Communications Technology,Lecture,Computer Engineerng Tech - CPS,3100,01,3,20212,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Low Enrollment,,,,,Lowell Institute School,,,,
Object-Oriented Design,Lecture,Computer Science,5004,01,4,20313,Thursday,S,M,T,W,F,T,S,06:00 PM - 09:20 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 047,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,1 of 4 seats remain.,1,,GSCS Computer & Info Science,06,00,09,20,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,02,4,20315,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,3 of 4 seats remain.,3,,GSCS Computer & Info Science,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,01,0,20314,Tuesday,S,M,W,T,F,T,S,04:00 PM - 07:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 047,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,1 of 4 seats remain.,1,,GSCS Computer & Info Science,04,00,07,30,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,02,0,20316,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,3 of 4 seats remain.,3,,GSCS Computer & Info Science,,,,,,,,,
"Data Structures, Algorithms, and Their Applications within Computer Systems",Lecture,Computer Science,5008,01,4,20317,Tuesday,S,M,W,T,F,T,S,07:00 PM - 10:20 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,,GSCS Computer & Info Science,07,00,10,20,,,,FULL: 0 of 3 seats remain.,
"Data Structures, Algorithms, and Their Applications within Computer Systems",Lecture,Computer Science,5008,02,4,20320,Wednesday,S,M,T,T,F,W,S,06:00 PM - 09:20 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 045,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,1 of 2 seats remain.,1,,GSCS Computer & Info Science,06,00,09,20,,,,,
Recitation for CS 5008,Recitation/Discussion,Computer Science,5009,01,0,20318,Wednesday,S,M,T,T,F,W,S,07:30 PM - 09:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,,GSCS Computer & Info Science,07,30,09,00,,,,FULL: 0 of 3 seats remain.,
Recitation for CS 5008,Recitation/Discussion,Computer Science,5009,02,0,20321,Monday,S,T,W,T,F,M,S,06:00 PM - 07:30 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 308,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,1 of 2 seats remain.,1,,GSCS Computer & Info Science,06,00,07,30,,,,,
Database Management Systems,Lecture,Computer Science,5200,01,4,20347,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,,GSCS Computer & Info Science,,,,,NUpath Analyzing/Using Data,,,FULL: 0 of 1 seats remain.,
Algorithms,Lecture,Computer Science,5800,01,4,20319,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,1 of 2 seats remain.,1,,GSCS Computer & Info Science,,,,,NUpath Formal/Quant Reasoning,,,,
Principles of Microeconomics,Lecture,Economics - CPS,1100,01,3,20021,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"18 of 30 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Programs-UG,,,,,,,,,
Principles of Macroeconomics,Lecture,Economics - CPS,1200,01,3,20151,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,
Circuits AC/DC,Lecture,Electrical Engineer Tech - CPS,2005,01,3,20270,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"29 of 30 seats remain.
10 of 10 waitlist seats remain.",29,10,Lowell Institute School,,,,,,,,,
Electronics 1,Lecture,Electrical Engineer Tech - CPS,3100,01,3,20296,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Lowell Institute School,,,,,,,,,
Lab for EET 3100,Lab,Electrical Engineer Tech - CPS,3101,01,2,20297,Thursday,S,M,T,W,F,T,S,05:50 PM - 07:50 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 216,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"23 of 24 seats remain.
10 of 10 waitlist seats remain.",23,10,Lowell Institute School,05,50,07,50,,,,,
Digital Logic,Lecture,Electrical Engineer Tech - CPS,3300,01,3,20298,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Lowell Institute School,,,,,,,,,
College Writing 1,Lecture,English - CPS,1105,01,3,20192,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"5 of 20 seats remain.
10 of 10 waitlist seats remain.",5,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,
Lab for ENG 1105,Lab,English - CPS,1106,01,1,20193,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"5 of 20 seats remain.
10 of 10 waitlist seats remain.",5,10,CPS-Undergraduate Labs,,,,,,,,,
College Writing 2,Lecture,English - CPS,1107,01,3,20094,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 104,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,NU Core/NUpath 1st Yr Writing,05,50,08,20,CPS-Programs-UG,,,,
College Writing 2,Lecture,English - CPS,1107,02,3,20022,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
College Writing 2,Lecture,English - CPS,1107,03,3,20299,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,NU Core/NUpath 1st Yr Writing,,,,,CPS-Programs-UG,,,,
Lab for ENG 1107,Lab,English - CPS,1108,01,1,20095,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Undergraduate Labs,,,,,,,,,
Lab for ENG 1107,Lab,English - CPS,1108,02,1,20023,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,10,CPS-Undergraduate Labs,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Lab for ENG 1107,Lab,English - CPS,1108,03,1,20300,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Undergraduate Labs,,,,,,,,,
Writing for the Professions: Science and Engineering,Lecture,English - CPS,3105,01,3,20024,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 104,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,NU Core/NUpath Adv Writ Dscpl,05,50,08,20,CPS-Programs-UG,,,,
Writing for the Professions: Science and Engineering,Lecture,English - CPS,3105,02,3,20100,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"1 of 20 seats remain.
10 of 10 waitlist seats remain.",1,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,
Writing for the Professions: Science and Engineering,Lecture,English - CPS,3105,03,3,20340,,,,,,,,,,,,,,,,,,,,Online,"20 of 20 seats remain.
10 of 10 waitlist seats remain.",20,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,
Lab for ENG 3105,Lab,English - CPS,3106,01,1,20025,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"18 of 20 seats remain.
10 of 10 waitlist seats remain.",18,10,CPS-Undergraduate Labs,,,,,,,,,
Lab for ENG 3105,Lab,English - CPS,3106,02,1,20101,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"1 of 20 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Undergraduate Labs,,,,,,,,,
Lab for ENG 3105,Lab,English - CPS,3106,03,1,20341,,,,,,,,,,,,,,,,,,,,Online,"20 of 20 seats remain.
10 of 10 waitlist seats remain.",20,10,CPS-Undergraduate Labs,,,,,,,,,
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,01,3,20026,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,03,3,20096,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"11 of 20 seats remain.
10 of 10 waitlist seats remain.",11,10,NU Core/NUpath Adv Writ Dscpl,,,,,CPS-Programs-UG,,,,
Writing for the Professions: Business and the Social Sciences,Lecture,English - CPS,3107,04,3,20059,Thursday,S,M,T,W,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 009,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"14 of 20 seats remain.
10 of 10 waitlist seats remain.",14,10,NU Core/NUpath Adv Writ Dscpl,05,50,08,20,CPS-Programs-UG,,,,
Lab for ENG 3107,Lab,English - CPS,3108,01,1,20027,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,10,CPS-Undergraduate Labs,,,,,,,,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.
Lab for ENG 3107,Lab,English - CPS,3108,03,1,20097,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"11 of 20 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Undergraduate Labs,,,,,,,,,
Lab for ENG 3107,Lab,English - CPS,3108,04,1,20064,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"14 of 20 seats remain.
10 of 10 waitlist seats remain.",14,10,CPS-Undergraduate Labs,,,,,,,,,
Writing Poetry,Lecture,English - CPS,3220,01,3,20028,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,
Introduction to Corporate Finance,Lecture,Finance - CPS,2105,02,3,20068,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"6 of 30 seats remain.
5 of 5 waitlist seats remain.",6,5,CPS-Programs-UG,,,,,,,,,
Introduction to Corporate Finance,Lecture,Finance - CPS,2105,03,3,20142,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,CPS-Programs-UG,,,,,,,,,
Finance for New Ventures,Lecture,Finance - CPS,3100,01,3,20109,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,NUpath Creative Express/Innov,,,,,CPS-Programs-UG,,,,
Financial Institutions and Markets,Lecture,Finance - CPS,3310,01,3,20029,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"21 of 30 seats remain.
5 of 5 waitlist seats remain.",21,5,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,
Investments,Lecture,Finance - CPS,3340,01,3,20114,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,CPS-Programs-UG,,,,,,,,,
Working Capital Management,Lecture,Finance - CPS,4220,01,3,20056,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Programs-UG,,,,,,,,,
Working Capital Management,Lecture,Finance - CPS,4220,02,3,20326,Monday,S,T,W,T,F,M,S,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Richards Hall,Building:,Room: 325,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,27 of 30 seats remain.,27,,CPS-Programs-UG,05,50,08,30,,,,,
International Finance,Lecture,Finance - CPS,4230,01,3,20057,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,CPS-Programs-UG,,,,,,,,,
Personal Financial Planning,Lecture,Finance - CPS,4240,01,3,20178,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"19 of 30 seats remain.
10 of 10 waitlist seats remain.",19,10,CPS-Programs-UG,,,,,,,,,
Introduction to Engineering and Technology,Lecture,General Engineering Tech - CPS,1100,01,3,20205,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Low Enrollment,,,,,NUpath Natural/Designed World,Lowell Institute School,,,
Engineering Technology Capstone Project Preparation and Proposal,Lecture,General Engineering Tech - CPS,4840,01,2,20173,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Low Enrollment,,,,,NUpath Writing Intensive,Lowell Institute School,,,
Foundations of Healthcare Management,Lecture,Health Management - CPS,1100,01,3,20030,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,Lowell Institute School,,,,,,,,,
Healthcare Operations,Lecture,Health Management - CPS,2100,01,3,20031,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,Lowell Institute School,,,,,,,,,
Health Law and Regulation,Lecture,Health Management - CPS,2110,01,3,20107,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
5 of 5 waitlist seats remain.",26,5,Lowell Institute School,,,,,,,,,
Nutrition,Lecture,Health Science - CPS,1200,01,3,20032,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/24/2025,End Date:,Online,"8 of 30 seats remain.
10 of 10 waitlist seats remain.",8,10,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,
Pharmacology,Lecture,Health Science - CPS,3320,01,3,20033,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"25 of 30 seats remain.
5 of 5 waitlist seats remain.",25,5,Lowell Institute School,,,,,,,,,
Coming to America: The American Immigrant Experience,Lecture,History - CPS,2425,01,3,20105,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"20 of 30 seats remain.
10 of 10 waitlist seats remain.",20,10,NUpath Difference/Diversity,,,,,NUpath Societies/Institutions,CPS-Programs-UG,,,
Human Resources Management,Lecture,Human Resources Mgmt - CPS,2320,01,3,20088,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Programs-UG,,,,,,,,,
Human Behavior in the Social Environment,Lecture,Human Services - CPS,2240,01,3,20135,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/25/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"17 of 30 seats remain.
5 of 5 waitlist seats remain.",17,5,NUpath Societies/Institutions,,,,,CPS-Programs-UG,,,,
Computer Applications,Lecture,Information Tech - CPS,1000,01,3,20119,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"12 of 30 seats remain.
10 of 10 waitlist seats remain.",12,10,Lowell Institute School,,,,,,,,,
Operating Systems Concepts,Lecture,Information Tech - CPS,1200,01,3,20166,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,Lowell Institute School,,,,,,,,,
Principles of Systems Analysis and Design,Lecture,Information Tech - CPS,2000,01,3,20167,Monday,S,T,W,T,F,M,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Hurtig Hall,Building:,Room: 310,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,NUpath Natural/Designed World,05,50,08,20,Lowell Institute School,,,,
Principles of Systems Analysis and Design,Lecture,Information Tech - CPS,2000,02,3,20301,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"9 of 30 seats remain.
10 of 10 waitlist seats remain.",9,10,NUpath Natural/Designed World,,,,,Lowell Institute School,,,,
End-User Data Analysis Tools,Lecture,Information Tech - CPS,2016,01,3,20034,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,,FULL,10,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.
End-User Data Analysis Tools,Lecture,Information Tech - CPS,2016,02,3,20103,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"26 of 30 seats remain.
10 of 10 waitlist seats remain.",26,10,NUpath Analyzing/Using Data,,,,,Lowell Institute School,,,,
Designing the User Experience,Lecture,Information Tech - CPS,2050,01,3,20200,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"5 of 30 seats remain.
10 of 10 waitlist seats remain.",5,10,Lowell Institute School,,,,,,,,,
Designing the User Experience,Lecture,Information Tech - CPS,2050,02,3,20307,Tuesday,S,M,W,T,F,T,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 153,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"28 of 30 seats remain.
10 of 10 waitlist seats remain.",28,10,Lowell Institute School,05,50,08,20,,,,,
Introduction to Programming (Java),Lecture,Information Tech - CPS,2100,01,3,20169,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"17 of 30 seats remain.
10 of 10 waitlist seats remain.",17,10,Lowell Institute School,,,,,,,,,
Networking Foundations,Lecture,Information Tech - CPS,2200,01,3,20174,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,Lowell Institute School,,,,,,,,,
Database Management Systems,Lecture,Information Tech - CPS,2300,01,3,20168,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"6 of 30 seats remain.
10 of 10 waitlist seats remain.",6,10,Lowell Institute School,,,,,,,,,
Web and Mobile Development,Lecture,Information Tech - CPS,2400,01,3,20170,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"5 of 30 seats remain.
10 of 10 waitlist seats remain.",5,10,NUpath Creative Express/Innov,,,,,Lowell Institute School,,,,
Web and Mobile Development,Lecture,Information Tech - CPS,2400,02,3,20308,Wednesday,S,M,T,T,F,W,S,05:50 PM - 08:20 PM,Type: Class,Type:,Building: Hurtig Hall,Building:,Room: 310,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Boston,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,NUpath Creative Express/Innov,05,50,08,20,Lowell Institute School,,,,
Advanced Applications Development (Android),Lecture,Information Tech - CPS,3100,01,3,20260,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Lowell Institute School,,,,,,,,,
Exploring NoSQL Databases,Lecture,Information Tech - CPS,3310,01,3,20302,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"22 of 30 seats remain.
10 of 10 waitlist seats remain.",22,10,Lowell Institute School,,,,,,,,,
IT Project Management,Lecture,Information Tech - CPS,3500,01,3,20201,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"23 of 30 seats remain.
10 of 10 waitlist seats remain.",23,10,NUpath Writing Intensive,,,,,Lowell Institute School,,,,
Legal and Ethical Issues in Cybersecurity,Lecture,Information Tech - CPS,3620,01,3,20171,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,NUpath Ethical Reasoning,,,,,CPS-Programs-UG,,,,
Network Security,Lecture,Information Tech - CPS,4200,01,3,20303,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,10,Lowell Institute School,,,,,,,,,
Information Security Management,Lecture,Information Tech - CPS,4600,01,3,20311,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 08/16/2025,End Date:,Online,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,Lowell Institute School,,,,,,,,,
