section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),status-full,status-bold,readonly (8),readonly (9),readonly (11),meeting (2),meeting (3),meeting (4),meeting (5),status-waitlist,status-bold (2),readonly (12),readonly (13),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,22,0,51782,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,23,0,51783,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,24,0,51784,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,25,0,51785,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,26,0,51786,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,27,0,51787,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,28,0,51788,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,29,0,51789,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,30,0,51790,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,31,0,51791,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,32,0,51792,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,33,0,51793,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,34,0,51794,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,35,0,51795,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,36,0,51796,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,37,0,51797,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,38,0,51798,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,39,0,51799,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,40,0,51800,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,41,0,51801,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,42,0,51802,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,43,0,51803,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,44,0,51804,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,45,0,51805,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,46,0,51806,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,47,0,51807,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,48,0,51808,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,49,0,51809,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,50,0,51810,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,51,0,51811,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,52,0,51812,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,53,0,51813,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,54,0,51814,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,55,0,51815,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,56,0,51816,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,57,0,51817,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,58,0,51818,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,59,0,51819,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,60,0,51820,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,61,0,51821,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,62,0,51822,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,63,0,51823,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,64,0,51824,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,65,0,51825,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,66,0,51826,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,67,0,51827,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,68,0,51828,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,69,0,51829,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,70,0,51830,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,71,0,51831,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,72,0,51832,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,73,0,51833,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,74,0,51834,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,75,0,51835,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,76,0,51836,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,77,0,51837,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,78,0,51838,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,79,0,51839,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,80,0,51840,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,81,0,51841,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,82,0,51842,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,83,0,51843,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,84,0,51844,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,85,0,51845,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,86,0,51846,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,87,0,51847,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,88,0,53033,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,89,0,53034,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,90,0,53035,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,91,0,53036,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,92,0,53037,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,93,0,53038,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,94,0,53039,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,95,0,53040,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,96,0,53041,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,97,0,53042,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,98,0,53043,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience - Half-Time,Off-campus instruction,Computer Science,8948,99,0,53044,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,3,GSCS Computer & Info Science,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience,Off-campus instruction,Computer Science,8949,01,0,51052,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,5,GSCS Computer & Info Science,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience,Off-campus instruction,Computer Science,8949,02,0,51053,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSCS Computer & Info Science,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience,Off-campus instruction,Computer Science,8949,03,0,51054,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 05/05/2025,End Date: 08/16/2025,"No campus, no room needed",,4,GSCS Computer & Info Science,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
