section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,readonly (11),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (33),ui-state-default (34),tooltip-row (47),tooltip-row (49),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (41),ui-state-default (42),tooltip-row (53),tooltip-row (55),tooltip-row (57),tooltip-row (59),status-bold (3),readonly (12)
Digital Marketing Analytics,Lecture,Communicatn Studies - CPS,6075,03,3,80570,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 296,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"26 of 30 seats remain.
6 of 6 waitlist seats remain.",26,6,Low Enrollment,CPS-Leadership Programs GR 1,05,50,08,30,,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercultural Communication,Lecture,Communicatn Studies - CPS,6080,02,3,80059,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hayden Hall,Building:,Room: 222,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"16 of 24 seats remain.
6 of 6 waitlist seats remain.",16,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategies for Cross-Cultural Facilitation and Negotiation,Lecture,Communicatn Studies - CPS,6085,01,3,81415,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: Virtual Space- Online class,Building:,Room: ROOM,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"27 of 30 seats remain.
5 of 5 waitlist seats remain.",27,5,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Organizational Culture, Climate, and Communication",Lecture,Communicatn Studies - CPS,6090,01,3,80330,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 202,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"13 of 28 seats remain.
6 of 6 waitlist seats remain.",13,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Organizational Culture, Climate, and Communication",Lecture,Communicatn Studies - CPS,6090,02,3,80123,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"24 of 30 seats remain.
6 of 6 waitlist seats remain.",24,6,"Charlotte, NC program eligible",CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Developing Cultural Awareness,Lecture,Communicatn Studies - CPS,6095,01,3,81226,Monday,S,T,W,T,F,S,M,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 202,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Leadership Programs GR 1,CPS Digital Badge,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Developing Cultural Awareness,Lecture,Communicatn Studies - CPS,6095,02,3,81223,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"24 of 30 seats remain.
5 of 5 waitlist seats remain.",24,5,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultural Communications Lab,Lecture,Communicatn Studies - CPS,6096,01,1,80456,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"15 of 30 seats remain.
6 of 6 waitlist seats remain.",15,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Networks and Managing Information,Lecture,Communicatn Studies - CPS,6100,01,3,80457,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 220,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"15 of 20 seats remain.
6 of 6 waitlist seats remain.",15,6,CPS-Leadership Programs GR 1,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Networks and Managing Information,Lecture,Communicatn Studies - CPS,6100,02,3,80458,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"28 of 30 seats remain.
6 of 6 waitlist seats remain.",28,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Dynamics and Interpersonal Conflict: Meeting Management,Lecture,Communicatn Studies - CPS,6110,01,3,80563,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:35 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 151,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"25 of 30 seats remain.
6 of 6 waitlist seats remain.",25,6,CPS-Leadership Programs GR 1,CPS Digital Badge,05,50,08,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Dynamics and Interpersonal Conflict: Meeting Management,Lecture,Communicatn Studies - CPS,6110,02,3,80124,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Online,"25 of 30 seats remain.
6 of 6 waitlist seats remain.",25,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organizational Communication Assessment,Lecture,Communicatn Studies - CPS,6910,01,3,80004,Monday,S,T,W,T,F,S,M,02:50 PM - 05:30 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 007,Room:,Start Date: 04/07/2025,Start Date:,End Date: 05/17/2025,End Date:,Boston,"19 of 30 seats remain.
6 of 6 waitlist seats remain.",19,6,CPS-Leadership Programs GR 1,CPS Digital Badge,02,50,05,30,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organizational Communication Assessment,Lecture,Communicatn Studies - CPS,6910,02,3,80561,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/19/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"18 of 30 seats remain.
6 of 6 waitlist seats remain.",18,6,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects for Professionals,Seminar,Communicatn Studies - CPS,6940,01,4,80331,Thursday,S,M,T,W,F,S,T,05:50 PM - 08:30 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 124,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"10 of 20 seats remain.
6 of 6 waitlist seats remain.",10,6,CPS-Leadership Programs GR 1,CPS Digital Badge,05,50,08,30,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects for Professionals,Seminar,Communicatn Studies - CPS,6940,02,4,80332,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"17 of 20 seats remain.
6 of 6 waitlist seats remain.",17,6,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,XN Experiential Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,02,4,80452,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 247,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,10,CPS-Leadership Programs GR 1,,05,50,07,40,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,04,4,81034,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"23 of 30 seats remain.
6 of 6 waitlist seats remain.",23,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,06,4,81274,Wednesday,S,M,T,T,F,S,W,03:00 PM - 04:50 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","1 of 30 seats remain.
2 of 6 waitlist seats remain.
Open Seats Reserved for Waitlisted Only.",1,2,CPS-Leadership Programs GR 1,,03,00,04,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Seats Reserved for Waitlisted Only.,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,07,4,81275,Thursday,S,M,T,W,F,S,T,05:00 PM - 06:50 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","3 of 30 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Leadership Programs GR 1,,05,00,06,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,06,4,80719,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 105,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,10,CPS-Leadership Programs GR 1,,05,50,07,40,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,11,4,81247,Wednesday,S,M,T,T,F,S,W,02:50 PM - 04:40 PM,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 912,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA","4 of 5 seats remain.
1 of 1 waitlist seats remain.",4,1,CPS-Leadership Programs GR 1,,02,50,04,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,12,4,81276,Wednesday,S,M,T,T,F,S,W,05:00 PM - 06:50 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,6,CPS-Leadership Programs GR 1,,05,00,06,50,FULL: 0 of 31 seats remain.,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,13,4,81278,Thursday,S,M,T,W,F,S,T,07:00 PM - 08:50 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada",,FULL,3,CPS-Leadership Programs GR 1,,07,00,08,50,FULL: 0 of 30 seats remain.,3 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,14,4,81395,Thursday,S,M,T,W,F,S,T,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 204,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine","14 of 30 seats remain.
10 of 10 waitlist seats remain.",14,10,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,01,4,80209,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,02,4,80453,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 236,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"7 of 20 seats remain.
10 of 10 waitlist seats remain.",7,10,CPS-Leadership Programs GR 1,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,03,4,81063,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Forsyth Building,Building:,Room: 238,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,10,CPS-Leadership Programs GR 1,,05,50,07,40,FULL: 0 of 18 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,07,4,81396,Friday,S,M,T,W,T,S,F,06:00 PM - 08:40 PM,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 138,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine","16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Leadership Programs GR 1,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,01,4,80425,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Hastings Suite,Building:,Room: 210,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"11 of 30 seats remain.
10 of 10 waitlist seats remain.",11,10,CPS-Leadership Programs GR 1,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,06,4,80831,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Type: Class,Type:,Building: Ryder Hall,Building:,Room: 161,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"16 of 30 seats remain.
10 of 10 waitlist seats remain.",16,10,CPS-Leadership Programs GR 1,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,07,4,81279,Friday,S,M,T,W,T,S,F,12:00 PM - 01:50 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","23 of 30 seats remain.
6 of 6 waitlist seats remain.",23,6,CPS-Leadership Programs GR 1,,12,00,01,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,08,4,81280,Friday,S,M,T,W,T,S,F,02:00 PM - 03:50 PM,Type: Class,Type:,"Building: 375 Queen Street, Toronto",Building:,Room: 603,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Toronto, Canada","1 of 30 seats remain.
6 of 6 waitlist seats remain.",1,6,CPS-Leadership Programs GR 1,,02,00,03,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,01,0,81176,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 050,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,18 of 54 seats remain.,18,,COOP Course,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,02,0,81177,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Seattle, WA",50 of 50 seats remain.,50,,COOP Course,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,03,0,81178,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Portland, Maine",19 of 20 seats remain.,19,,COOP Course,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,04,0,81179,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Silicon Valley, CA",17 of 20 seats remain.,17,,COOP Course,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,05,0,81180,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Type: Class,Type:,Building: Mills Hall,Building:,Room: 318,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,"Oakland, CA",10 of 10 seats remain.,10,,COOP Course,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,06,0,81402,Tuesday,S,M,W,T,F,S,T,06:00 PM - 07:00 PM,Type: Class,Type:,Building: Churchill Hall,Building:,Room: 103,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,25 of 50 seats remain.,25,,COOP Course,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Security—Law and Policy,Lecture,Criminal Justice - CPS,6125,01,3,80740,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,15 of 30 seats remain.,15,,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communications Foundation,Lecture,Digital Media - CPS,6105,01,4,80025,Monday,S,T,W,T,F,S,M,03:30 PM - 05:20 PM,Type: Class,Type:,Building: 89 Broad Street,Building:,Room: 210,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,"6 of 12 seats remain.
5 of 5 waitlist seats remain.",6,5,Low Enrollment,CPS-Professional Programs GR 1,03,30,05,20,,,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communications Foundation,Lecture,Digital Media - CPS,6105,02,4,81433,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Online,9 of 12 seats remain.,9,,CPS-Professional Programs GR 1,Snell Library Lab Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Digital Storytelling,Lecture,Digital Media - CPS,6122,01,4,80005,Tuesday,S,M,W,T,F,S,T,03:20 PM - 05:10 PM,Type: Class,Type:,Building: Snell Library,Building:,Room: 107,Room:,Start Date: 04/07/2025,Start Date:,End Date: 06/28/2025,End Date:,Boston,,FULL,7,CPS-Professional Programs GR 1,Snell Library Lab Access,03,20,05,10,FULL: 0 of 16 seats remain.,7 of 7 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
