section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),status-full,status-bold,readonly (8),readonly (9),meeting (2),meeting (3),meeting (4),meeting (5),readonly (11),status-waitlist,status-bold (2),readonly (12),readonly (13),readonly (14),readonly (15),status-bold (3),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20)
Co-op Work Experience,Individual Instruction,Computer Science,6964,01,0,61019,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,99,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,02,0,61020,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,99,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,03,0,61021,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,99,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,04,0,61022,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,60,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,05,0,61023,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,99,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,06,0,61024,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,150,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,07,0,61025,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,08,0,61221,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,150,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,09,0,61827,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,01,0,61050,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,5,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,02,0,61222,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,03,0,61223,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,04,0,61224,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,05,0,61225,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,06,0,61226,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,07,0,61227,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,08,0,61228,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,09,0,61828,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Continuation,Individual Instruction,Computer Science,9996,01,0,61938,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GSCS Computer & Info Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST: Introduction to Agentic AI,Lecture,Computer Systems Engineering,7374,01,4,61859,"Tuesday,Thursday",S,M,W,T,T,F,S,10:30 AM - 01:50 PM,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,26,GSEN Engineering,Topics Course,10,30,01,50,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internship for Career Decision Making,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,2010,01,1,60832,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,"No campus, no room needed",,10,"UG Col of Arts, Media & Design",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,05,0,61627,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,50,"GS Col of Arts, Media & Design",No Course Evaluation,,,,,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Business Decision Making,Lecture,Coop/Exper Ed - Business,6401,01,1,61930,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,90,EDGE supported Section,GSBA Innovation Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing Operational Disruption in Healthcare,Lecture,Coop/Exper Ed - Business,6406,01,1,61744,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,185,EDGE supported Section,GSBA On-line MBA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategy: Successful Internationalization,Lecture,Coop/Exper Ed - Business,6409,01,2,61745,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,170,EDGE supported Section,GSBA On-line MBA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Values, Ethics, and Professionalism in the Sciences",Lecture,Coop/Exper Ed - Science,3000,01,4,61183,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,,3,NUpath Ethical Reasoning,UG College of Science,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6400,01,0,61809,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,50,GSSC Biotechnology Program,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6400,02,0,61810,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,50,GSSC Biotechnology Program,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6400,03,0,61811,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,50,GSSC Biotechnology Program,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Science,6954,01,0,61812,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,50,GS College of Science,No Course Evaluation,,,,,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6964,01,0,61813,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,149,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6964,02,0,61814,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,150,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6964,03,0,61815,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,150,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Coop/Exper Ed - Science,6964,04,0,61816,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,150,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Coop/Exper Ed - Science,6965,01,0,61817,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,25,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Coop/Exper Ed - Science,6965,02,0,61818,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,25,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Coop/Exper Ed - Science,6965,03,0,61819,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,25,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Coop/Exper Ed - Science,6965,04,0,61820,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,25,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,08,0,61597,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,09,0,61601,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,10,0,61612,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,11,0,61676,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,12,0,61677,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,13,0,61950,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,14,0,61955,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,15,0,61957,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork,Individual Instruction,Coop/Exper Ed - Science,9700,16,0,61984,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",FULL: 0 of 1 seats remain.,FULL,GS College of Science,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dissertation Fieldwork - Half-Time,Individual Instruction,Coop/Exper Ed - Science,9701,01,0,61821,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,1,GS College of Science,No Course Evaluation,,,,,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation!,Lecture,Corporate Innovation,2301,02,4,61274,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,NUpath Creative Express/Innov,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation!,Lecture,Corporate Innovation,2301,03,4,61275,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 40 seats remain.,FULL,NUpath Creative Express/Innov,Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Growth and Innovation,Lecture,Corporate Innovation,6200,02,3,61333,Tuesday,S,M,W,T,T,F,S,05:20 PM - 09:20 PM,Type: Class,Type:,Building: Behrakis Health Sciences Cntr,Building:,Room: 105,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,3,GSBA Business Administration,,05,20,09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Bias in Business,Lecture,Corporate Innovation,6227,01,3,61746,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,180,EDGE supported Section,GSBA On-line MBA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Opportunities in Sustainable Smart City Initiatives,Lecture,Corporate Innovation,6252,01,3,61976,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,50,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Managing the Metaverse,Lecture,Corporate Innovation,6253,01,3,61519,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,44,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Driven Strategy,Lecture,Corporate Innovation,6318,01,2,60925,"Monday,Wednesday",S,T,T,M,W,F,S,08:00 AM - 09:40 AM,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 119,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Boston,,54,GSBA Professional Accounting,,08,00,09,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Driven Strategy,Lecture,Corporate Innovation,6318,02,2,61854,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,111,EDGE supported Section,GSBA On-line MBA 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blockchain AI and IT,Lecture,Corporate Innovation,6401,01,3,61399,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,42,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creating Value in the Experience Economy,Lecture,Corporate Innovation,6402,01,3,61452,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,46,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cybersecurity Response Policy and Practice,Lecture,Corporate Innovation,6403,01,3,61400,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,50,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Platform Design,Lecture,Corporate Innovation,6404,01,3,61978,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,50,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Information Security: Threats and Defenses,Lecture,Corporate Innovation,6405,01,3,61980,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,50,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading Disruptive Change in a Digital Economy,Lecture,Corporate Innovation,6406,01,3,61402,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,42,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raising Capital,Lecture,Corporate Innovation,6408,01,3,61403,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,41,GSBA Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Behavior Change,Lecture,Counseling and Applied Ed Psyc,1290,01,4,60926,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,Bouve Health Sci,,,,,,,1 of 10 waitlist seats remain.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Behavior Change,Lecture,Counseling and Applied Ed Psyc,1290,02,4,61465,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/14/2025,End Date:,Online,FULL: 0 of 19 seats remain.,FULL,Bouve Health Sci,,,,,,,2 of 10 waitlist seats remain.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Personal Behavior Change,Lecture,Counseling and Applied Ed Psyc,1290,03,4,61960,,,,,,,,,,,,,,,,,,,,Online,,13,Bouve Health Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Practice Supervision,Seminar,Counseling and Applied Ed Psyc,6338,01,1 TO 3,61011,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,19,GSBV Bouve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behavior Management,Lecture,Counseling and Applied Ed Psyc,6347,01,3,60707,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,Online,,9,GSBV Bouve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Practicum 1,Off-campus instruction w/ lec,Counseling and Applied Ed Psyc,7741,01,1 OR 2,61461,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,10,GSBV Bouve,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Practicum 3,Off-campus instruction,Counseling and Applied Ed Psyc,7743,01,1 OR 2,61462,None,S,M,T,W,T,F,S,-,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 06/30/2025,Start Date:,End Date: 08/23/2025,End Date:,"No campus, no room needed",,9,GSBV Bouve,Full-time status,,,,,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
