section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),readonly (7),status-full,status-bold,readonly (8),readonly (10),status-bold (2),status-waitlist,ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),readonly (11),readonly (12),readonly (13),readonly (14),readonly (15),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),readonly (16),readonly (17),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),ui-state-default (35),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),tooltip-row (57),tooltip-row (59)
Intro to Offsec Development,Lecture,Computer Science,4973,09,4,41678,Wednesday,S,W,M,,,T,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Snell Library,Room: 031,Start Date: 01/06/2025,End Date: 04/15/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,4,Topics Course,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensive Foundations of Computer Science,Lecture,Computer Science,5001,01,4,32083,Monday,S,M,T,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Behrakis Health Sciences Cntr,Room: 310,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,43,GSCS Computer & Info Science,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensive Foundations of Computer Science,Lecture,Computer Science,5001,02,4,40551,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 218,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,1,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensive Foundations of Computer Science,Lecture,Computer Science,5001,03,4,40614,Wednesday,S,W,M,,,T,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: 225 Terry Ave,Room: 402,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",,35,GSCS Computer & Info Science,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensive Foundations of Computer Science,Lecture,Computer Science,5001,04,4,41834,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,FULL: 0 of 1 seats remain.,FULL,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensive Foundations of Computer Science,Lecture,Computer Science,5001,05,4,40682,Wednesday,S,W,M,,,T,T,03:00 PM - 06:20 PM,03,00,06,20,Type: Class,Building: Northeastern San Jose,Room: 903,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,3,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intensive Foundations of Computer Science,Lecture,Computer Science,5001,06,4,40683,Monday,S,M,T,,,W,T,10:45 AM - 12:45 PM,10,45,12,45,Type: Class,Building: West Georgia,Room: 1524,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,19,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Structures,Lecture,Computer Science,5002,01,4,35417,"Monday,Wednesday",S,M,T,W,,T,F,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Building: West Village G,Room: 102,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,Boston,,42,GSCS Computer & Info Science,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Structures,Lecture,Computer Science,5002,02,4,35638,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,21,GSCS Computer & Info Science,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Structures,Lecture,Computer Science,5002,03,4,40552,Wednesday,S,W,M,,,T,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 204,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,15,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Structures,Lecture,Computer Science,5002,05,4,40617,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: 225 Terry Ave,Room: 416,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",,31,GSCS Computer & Info Science,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Structures,Lecture,Computer Science,5002,06,4,40685,Monday,S,M,T,T,,W,T,03:00 PM - 04:40 PM,03,00,04,40,Type: Class,Building: Northeastern San Jose,Room: 1045,Start Date: 01/06/2025,End Date: 04/26/2025,Thursday,F,S,S,M,T,W,F,03:00 PM - 04:40 PM,03,00,04,40,Type: Class,Type:,Building: Northeastern San Jose,Building:,Room: 916,Room:,Start Date: 01/06/2025,Start Date:,End Date: 04/26/2025,End Date:,"Silicon Valley, CA",,11,GSCS Computer & Info Science,,10,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrete Structures,Lecture,Computer Science,5002,08,4,40687,Thursday,S,T,M,,,T,W,01:00 PM - 03:00 PM,01,00,03,00,Type: Class,Building: West Georgia,Room: 1524,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,20,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,01,0,32084,Thursday,S,T,M,,,T,W,06:10 PM - 07:40 PM,06,10,07,40,Type: Class,Building: Snell Library,Room: 121,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,10,GSCS Computer & Info Science,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,02,0,35641,Thursday,S,T,M,,,T,W,07:50 PM - 09:20 PM,07,50,09,20,Type: Class,Building: Shillman Hall,Room: 210,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,34,GSCS Computer & Info Science,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,03,0,40553,Thursday,S,T,M,,,T,W,06:00 PM - 07:30 PM,06,00,07,30,Type: Class,Building: Roux Institute 100 Fore St.,Room: 203,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,1,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,04,0,40618,Monday,S,M,T,,,W,T,06:00 PM - 07:30 PM,06,00,07,30,Type: Class,Building: 225 Terry Ave,Room: 416,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",,35,GSCS Computer & Info Science,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,06,0,40688,Friday,S,F,M,,,T,W,03:00 PM - 04:30 PM,03,00,04,30,Type: Class,Building: Northeastern San Jose,Room: 1012,Start Date: 01/06/2025,End Date: 04/26/2025,,T,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",FULL: 0 of 15 seats remain.,FULL,GSCS Computer & Info Science,,5,5 of 5 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,07,0,40689,Friday,S,F,M,,,T,W,05:00 PM - 06:30 PM,05,00,06,30,Type: Class,Building: Northeastern San Jose,Room: 1012,Start Date: 01/06/2025,End Date: 04/26/2025,,T,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,3,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,08,0,40690,Wednesday,S,W,M,,,T,T,10:45 AM - 12:45 PM,10,45,12,45,Type: Class,Building: West Georgia,Room: 1524,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,19,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5001,Recitation/Discussion,Computer Science,5003,10,0,41835,Thursday,S,T,M,,,T,W,06:00 PM - 07:30 PM,06,00,07,30,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,FULL: 0 of 1 seats remain.,FULL,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,02,4,40588,"Monday,Wednesday",S,M,T,W,,T,F,06:00 PM - 07:40 PM,06,00,07,40,Type: Class,Building: Northeastern Arlington Tower,Room: 1505,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,"Arlington, VA",,17,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,03,4,40554,Monday,S,M,T,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Roux Institute 100 Fore St.,Room: 132,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Portland, Maine",,16,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,04,4,40620,Thursday,S,T,M,,,T,W,10:00 AM - 01:20 PM,10,00,01,20,Type: Class,Building: 225 Terry Ave,Room: 416,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",,12,GSCS Computer & Info Science,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,05,4,40621,Tuesday,S,T,M,,,W,T,10:00 AM - 01:20 PM,10,00,01,20,Type: Class,Building: 225 Terry Ave,Room: 416,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",FULL: 0 of 36 seats remain.,FULL,GSCS Computer & Info Science,,20,20 of 20 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,06,4,40692,Tuesday,S,T,M,,,W,T,01:00 PM - 04:20 PM,01,00,04,20,Type: Class,Building: Northeastern San Jose,Room: 906,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,8,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,07,4,40693,Monday,S,M,T,,,W,T,03:00 PM - 06:20 PM,03,00,06,20,Type: Class,Building: Northeastern San Jose,Room: 912,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,3,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,08,4,40694,Tuesday,S,T,M,,,W,T,10:45 AM - 12:45 PM,10,45,12,45,Type: Class,Building: West Georgia,Room: 1526,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,1,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,09,4,40695,Tuesday,S,T,M,,,W,T,01:00 PM - 03:00 PM,01,00,03,00,Type: Class,Building: West Georgia,Room: 1526,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,19,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,10,4,40696,Tuesday,S,T,M,,,W,T,08:30 AM - 10:30 AM,08,30,10,30,Type: Class,Building: West Georgia,Room: 1526,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,22,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,11,4,40790,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,16,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,12,4,41159,Tuesday,S,T,M,,,W,T,01:00 PM - 04:20 PM,01,00,04,20,Type: Class,Building: Miami Campus 230 NW 24th St,Room: 513,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Miami, FL",,10,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,13,4,41326,Tuesday,S,T,M,,,W,T,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Snell Engineering Center,Room: 168,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,41,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object-Oriented Design,Lecture,Computer Science,5004,30,4,35643,"Tuesday,Friday",S,T,M,F,,W,T,12:25 PM - 02:05 PM,12,25,02,05,Type: Class,Building: Natural Science,Room: 212,Start Date: 01/06/2025,End Date: 04/26/2025,,S,,,,,,,,,,,,,,,,,,,,,,"Oakland, CA",,17,GSCS Computer & Info Science,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,01,0,40090,Thursday,S,T,M,,,T,W,07:45 PM - 09:15 PM,07,45,09,15,Type: Class,Building: Shillman Hall,Room: 220,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,12,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,02,0,40091,Thursday,S,T,M,,,T,W,07:45 PM - 09:15 PM,07,45,09,15,Type: Class,Building: Shillman Hall,Room: 420,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Boston,,34,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,03,0,40555,Thursday,S,T,M,,,T,W,06:00 PM - 07:30 PM,06,00,07,30,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,Online,,16,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,04,0,40589,Wednesday,S,W,M,,,T,T,03:30 PM - 05:00 PM,03,30,05,00,Type: Class,Building: Northeastern Arlington Tower,Room: 1525,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Arlington, VA",,17,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,05,0,40622,Friday,S,F,M,,,T,W,10:00 AM - 11:30 AM,10,00,11,30,Type: Class,Building: 225 Terry Ave,Room: 416,Start Date: 01/06/2025,End Date: 04/26/2025,,T,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",,11,GSCS Computer & Info Science,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,06,0,40623,Thursday,S,T,M,,,T,W,10:00 AM - 11:30 AM,10,00,11,30,Type: Class,Building: 225 Terry Ave,Room: 402,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Seattle, WA",FULL: 0 of 36 seats remain.,FULL,GSCS Computer & Info Science,,20,20 of 20 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,07,0,40697,Thursday,S,T,M,,,T,W,01:00 PM - 02:30 PM,01,00,02,30,Type: Class,Building: Northeastern San Jose,Room: 1012,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,2,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,08,0,40698,Thursday,S,T,M,,,T,W,03:00 PM - 04:30 PM,03,00,04,30,Type: Class,Building: Northeastern San Jose,Room: 1010,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,6,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,09,0,40699,Friday,S,F,M,,,T,W,03:00 PM - 04:30 PM,03,00,04,30,Type: Class,Building: Northeastern San Jose,Room: 1010,Start Date: 01/06/2025,End Date: 04/26/2025,,T,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,1,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,10,0,40700,Friday,S,F,M,,,T,W,05:00 PM - 06:30 PM,05,00,06,30,Type: Class,Building: Northeastern San Jose,Room: 1010,Start Date: 01/06/2025,End Date: 04/26/2025,,T,S,,,,,,,,,,,,,,,,,,,,,"Silicon Valley, CA",,2,GSCS Computer & Info Science,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,11,0,40701,Thursday,S,T,M,,,T,W,10:45 AM - 12:45 PM,10,45,12,45,Type: Class,Building: West Georgia,Room: 1526,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",FULL: 0 of 36 seats remain.,FULL,GSCS Computer & Info Science,,10,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,12,0,40702,Thursday,S,T,M,,,T,W,01:00 PM - 03:00 PM,01,00,03,00,Type: Class,Building: West Georgia,Room: 1526,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,20,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,13,0,40703,Thursday,S,T,M,,,T,W,08:30 AM - 10:30 AM,08,30,10,30,Type: Class,Building: West Georgia,Room: 1526,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Vancouver, Canada",,22,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,14,0,40791,None,S,,M,,,T,W,-,,,,,Type: Class,Building: None,Room: None,Start Date: 01/06/2025,End Date: 04/26/2025,,T,F,S,,,,,,,,,,,,,,,,,,,,Online,,16,GSCS Computer & Info Science,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,15,0,41165,Wednesday,S,W,M,,,T,T,01:00 PM - 02:30 PM,01,00,02,30,Type: Class,Building: Miami Campus 230 NW 24th St,Room: 513,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Miami, FL",,10,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recitation for CS 5004,Recitation/Discussion,Computer Science,5005,30,0,37038,Thursday,S,T,M,,,T,W,04:50 PM - 06:20 PM,04,50,06,20,Type: Class,Building: Graduate School of Business,Room: 125,Start Date: 01/06/2025,End Date: 04/26/2025,,F,S,,,,,,,,,,,,,,,,,,,,,"Oakland, CA",,17,GSCS Computer & Info Science,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
