section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,status-bold (2),readonly (9),readonly (10),readonly (11),meeting (2),meeting (3),meeting (4),meeting (5),status-full,status-waitlist,ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-pillbox-summary (4),ui-state-default (22),ui-state-default (23),ui-state-default (24),ui-state-default (25),ui-state-default (26),ui-state-default (27),ui-state-default (28),meeting (16),meeting (17),meeting (18),meeting (19),meeting (20),tooltip-row (31),tooltip-row (32),tooltip-row (33),tooltip-row (34),tooltip-row (35),tooltip-row (36),tooltip-row (37),tooltip-row (38),tooltip-row (39),tooltip-row (40),ui-pillbox-summary (5),ui-state-default (29),ui-state-default (30),ui-state-default (31),ui-state-default (32),ui-state-default (33),ui-state-default (34),meeting (21),meeting (22),meeting (23),meeting (24),meeting (25),tooltip-row (41),tooltip-row (42),tooltip-row (43),tooltip-row (44),tooltip-row (45),tooltip-row (46),tooltip-row (47),tooltip-row (48),tooltip-row (49),tooltip-row (50),ui-pillbox-summary (6),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (40),ui-state-default (41),meeting (26),meeting (27),meeting (28),meeting (29),meeting (30),tooltip-row (51),tooltip-row (52),tooltip-row (53),tooltip-row (54),tooltip-row (55),tooltip-row (56),tooltip-row (57),tooltip-row (58),tooltip-row (59),tooltip-row (60),readonly (12)
Intercultural Communication,Lecture,Communicatn Studies - CPS,6080,04,3,21719,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Building: Ryder Hall,Room: 128,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"6 of 20 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Organizational Culture, Climate, and Communication",Lecture,Communicatn Studies - CPS,6090,01,3,20008,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"22 of 25 seats remain.
6 of 6 waitlist seats remain.",22,6,"Charlotte, NC program eligible",Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Organizational Culture, Climate, and Communication",Lecture,Communicatn Studies - CPS,6090,02,3,20056,Wednesday,S,M,T,T,F,S,W,05:50 PM - 08:30 PM,Building: Dodge Hall,Room: 070,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"10 of 30 seats remain.
5 of 5 waitlist seats remain.",10,5,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Developing Cultural Awareness,Lecture,Communicatn Studies - CPS,6095,01,3,20609,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: Snell Library,Room: 035,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"19 of 30 seats remain.
6 of 6 waitlist seats remain.",19,6,CPS-Leadership Programs GR 1,CPS Digital Badge,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Developing Cultural Awareness,Lecture,Communicatn Studies - CPS,6095,02,3,20731,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultural Communications Lab,Lecture,Communicatn Studies - CPS,6096,01,1,20810,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"7 of 30 seats remain.
6 of 6 waitlist seats remain.",7,6,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Networks and Managing Information,Lecture,Communicatn Studies - CPS,6100,01,3,20009,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 02/18/2025,End Date: 03/29/2025,Online,"18 of 30 seats remain.
5 of 5 waitlist seats remain.",18,5,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Networks and Managing Information,Lecture,Communicatn Studies - CPS,6100,02,3,20129,Tuesday,S,M,W,T,F,S,T,05:50 PM - 08:30 PM,Building: Science Engineering Complex,Room: 138,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"12 of 30 seats remain.
6 of 6 waitlist seats remain.",12,6,CPS-Leadership Programs GR 1,,,05,50,08,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Group Dynamics and Interpersonal Conflict: Meeting Management,Lecture,Communicatn Studies - CPS,6110,04,3,20291,Wednesday,S,M,T,T,F,S,W,06:00 PM - 08:40 PM,Building: Robinson Hall,Room: 411,Start Date: 02/18/2025,End Date: 03/29/2025,Boston,"22 of 30 seats remain.
5 of 5 waitlist seats remain.",22,5,CPS-Leadership Programs GR 1,CPS Digital Badge,,06,00,08,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organizational Communication Assessment,Lecture,Communicatn Studies - CPS,6910,01,3,21846,Monday,S,T,W,T,F,S,M,02:50 PM - 05:15 PM,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"18 of 20 seats remain.
5 of 5 waitlist seats remain.",18,5,CPS-Leadership Programs GR 1,CPS Digital Badge,,02,50,05,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects for Professionals,Seminar,Communicatn Studies - CPS,6940,02,4,20346,Wednesday,S,M,T,T,F,S,W,05:50 PM - 09:20 PM,Building: Richards Hall,Room: 160,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"20 of 25 seats remain.
6 of 6 waitlist seats remain.",20,6,CPS-Leadership Programs GR 1,CPS Digital Badge,XN Experiential Project,05,50,09,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Projects for Professionals,Seminar,Communicatn Studies - CPS,6940,03,4,20347,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"27 of 30 seats remain.
6 of 6 waitlist seats remain.",27,6,With Service Learning,CPS-Leadership Programs GR 1,CPS Digital Badge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN Experiential Project
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,02,4,20357,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Building: Kariotis Hall,Room: 104,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,,FULL,10,CPS-Leadership Programs GR 1,,,05,50,07,40,FULL: 0 of 20 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,03,4,20660,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"24 of 30 seats remain.
10 of 10 waitlist seats remain.",24,10,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,08,4,20955,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Building: Richards Hall,Room: 226,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"21 of 30 seats remain.
10 of 10 waitlist seats remain.",21,10,CPS-Leadership Programs GR 1,,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,10,4,21508,Thursday,S,M,T,W,F,S,T,05:00 PM - 06:50 PM,"Building: 375 Queen Street, Toronto",Room: 603,Start Date: 01/06/2025,End Date: 03/29/2025,"Toronto, Canada",2 of 30 seats remain.,2,,CPS-Leadership Programs GR 1,,,05,00,06,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,11,4,21509,Wednesday,S,M,T,T,F,S,W,03:00 PM - 04:50 PM,"Building: 375 Queen Street, Toronto",Room: 603,Start Date: 01/06/2025,End Date: 03/29/2025,"Toronto, Canada",,FULL,,CPS-Leadership Programs GR 1,,,03,00,04,50,FULL: 0 of 30 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Construction Management,Lecture,Construction Mangmnt - CPS,6400,12,4,21722,Monday,S,T,W,T,F,S,M,06:00 PM - 07:50 PM,Building: Roux Institute 100 Fore St.,Room: 203,Start Date: 01/06/2025,End Date: 03/29/2025,"Portland, Maine","6 of 21 seats remain.
10 of 10 waitlist seats remain.",6,10,CPS-Leadership Programs GR 1,,,06,00,07,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,02,4,20544,Thursday,S,M,T,W,F,S,T,05:50 PM - 07:40 PM,Building: Hastings Suite,Room: 105,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"13 of 20 seats remain.
10 of 10 waitlist seats remain.",13,10,CPS-Leadership Programs GR 1,,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Project Delivery Methods and Project Controls,Lecture,Construction Mangmnt - CPS,6402,07,4,20975,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Building: EXP,Room: 311,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,,FULL,10,CPS-Leadership Programs GR 1,,,05,50,07,40,FULL: 0 of 30 seats remain.,10 of 10 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,01,4,20497,Wednesday,S,M,T,T,F,S,W,05:50 PM - 07:40 PM,Building: Ryder Hall,Room: 431,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"10 of 30 seats remain.
10 of 10 waitlist seats remain.",10,10,CPS-Leadership Programs GR 1,,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,02,4,20545,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"8 of 30 seats remain.
6 of 6 waitlist seats remain.",8,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safety, Project Risk, and Quality Management",Lecture,Construction Mangmnt - CPS,6403,05,4,20858,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,,FULL,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,FULL: 0 of 30 seats remain.,6 of 6 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,01,4,20662,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"18 of 30 seats remain.
6 of 6 waitlist seats remain.",18,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,06,4,20997,Friday,S,M,T,W,T,S,F,05:50 PM - 07:40 PM,Building: Snell Library,Room: 009,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"1 of 22 seats remain.
10 of 10 waitlist seats remain.",1,10,CPS-Leadership Programs GR 1,,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,08,4,21093,None,S,M,T,W,T,F,S,-,Building: Virtual Space- Online class,Room: ROOM,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"11 of 30 seats remain.
6 of 6 waitlist seats remain.",11,6,Toronto program eligible,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction Law,Lecture,Construction Mangmnt - CPS,6405,11,4,21723,Tuesday,S,M,W,T,F,S,T,06:00 PM - 07:50 PM,Building: Roux Institute 100 Fore St.,Room: ENOOK,Start Date: 01/06/2025,End Date: 03/29/2025,"Portland, Maine","7 of 21 seats remain.
5 of 5 waitlist seats remain.",7,5,CPS-Leadership Programs GR 1,,,06,00,07,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,01,0,21786,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Building: Dodge Hall,Room: 050,Start Date: 02/10/2025,End Date: 02/10/2025,Boston,,FULL,,COOP Course,,,06,00,07,00,FULL: 0 of 55 seats remain.,,Monday,S,T,W,T,F,M,S,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 050,Room:,Start Date: 02/24/2025,Start Date:,End Date: 02/24/2025,End Date:,Monday,S,T,W,T,F,M,S,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 050,Room:,Start Date: 03/10/2025,Start Date:,End Date: 03/10/2025,End Date:,Monday,S,T,W,T,F,M,S,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Dodge Hall,Building:,Room: 050,Room:,Start Date: 03/24/2025,Start Date:,End Date: 03/24/2025,End Date:,Monday,S,T,W,T,F,M,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Kariotis Hall,Building:,Room: 309,Room:,Start Date: 01/27/2025,Start Date:,End Date: 01/27/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,02,0,21787,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Building: 225 Terry Ave,Room: 220,Start Date: 01/06/2025,End Date: 03/29/2025,"Seattle, WA",47 of 50 seats remain.,47,,COOP Course,,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,03,0,21788,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Building: Roux Institute 100 Fore St.,Room: 137,Start Date: 02/10/2025,End Date: 02/10/2025,"Portland, Maine",18 of 20 seats remain.,18,,COOP Course,,,06,00,07,00,,,Monday,S,T,W,T,F,M,S,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 108,Room:,Start Date: 02/24/2025,Start Date:,End Date: 02/24/2025,End Date:,Monday,S,T,W,T,F,M,S,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 108,Room:,Start Date: 03/10/2025,Start Date:,End Date: 03/10/2025,End Date:,Monday,S,T,W,T,F,M,S,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 108,Room:,Start Date: 03/24/2025,Start Date:,End Date: 03/24/2025,End Date:,Monday,S,T,W,T,F,M,06:00 PM - 07:00 PM,06,00,07,00,Type: Class,Type:,Building: Roux Institute 100 Fore St.,Building:,Room: 137,Room:,Start Date: 01/27/2025,Start Date:,End Date: 01/27/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,04,0,21789,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Building: Northeastern San Jose,Room: 1045,Start Date: 01/06/2025,End Date: 03/29/2025,"Silicon Valley, CA",13 of 20 seats remain.,13,,COOP Course,,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiential Integration Seminar,Seminar,Coop/Experiential Education,5945,06,0,21825,Monday,S,T,W,T,F,S,M,06:00 PM - 07:00 PM,Building: Snell Library,Room: 001,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,4 of 10 seats remain.,4,,COOP Course,,,06,00,07,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organized Crime,Lecture,Criminal Justice - CPS,6030,01,3,21596,None,S,M,T,W,T,F,S,-,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Online,23 of 30 seats remain.,23,,CPS-Leadership Programs GR 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communications Foundation,Lecture,Digital Media - CPS,6105,02,4,20011,Monday,S,T,W,T,F,S,M,05:50 PM - 07:40 PM,Building: None,Room: None,Start Date: 01/06/2025,End Date: 02/15/2025,Boston,"2 of 12 seats remain.
6 of 6 waitlist seats remain.",2,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communications Foundation,Lecture,Digital Media - CPS,6105,03,4,20293,Monday,S,T,W,T,F,S,M,03:50 PM - 05:40 PM,Building: 89 Broad Street,Room: 210,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"2 of 12 seats remain.
6 of 6 waitlist seats remain.",2,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,03,50,05,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communications Foundation,Lecture,Digital Media - CPS,6105,06,4,20956,Monday,S,T,W,T,F,S,M,12:50 PM - 02:40 PM,Building: 89 Broad Street,Room: 210,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"8 of 12 seats remain.
6 of 6 waitlist seats remain.",8,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,12,50,02,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visual Communications Foundation,Lecture,Digital Media - CPS,6105,08,4,21389,Thursday,S,M,T,W,F,S,T,02:15 PM - 04:05 PM,Building: West Georgia,Room: 1418,Start Date: 01/06/2025,End Date: 03/29/2025,"Vancouver, Canada","6 of 12 seats remain.
6 of 6 waitlist seats remain.",6,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,02,15,04,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming Foundations for Digital Media,Lecture,Digital Media - CPS,6108,01,4,20012,Wednesday,S,M,T,T,F,S,W,12:10 PM - 02:00 PM,Building: Snell Library,Room: 107,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"4 of 16 seats remain.
6 of 6 waitlist seats remain.",4,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,12,10,02,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming Foundations for Digital Media,Lecture,Digital Media - CPS,6108,02,4,20824,Tuesday,S,M,W,T,F,S,T,05:50 PM - 07:40 PM,Building: Virtual Space- Online class,Room: ROOM,Start Date: 01/06/2025,End Date: 03/29/2025,Online,"9 of 16 seats remain.
6 of 6 waitlist seats remain.",9,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,05,50,07,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming Foundations for Digital Media,Lecture,Digital Media - CPS,6108,04,4,21401,Tuesday,S,M,W,T,F,S,T,03:00 PM - 04:50 PM,Building: West Georgia,Room: 1418,Start Date: 01/06/2025,End Date: 03/29/2025,"Vancouver, Canada","10 of 16 seats remain.
6 of 6 waitlist seats remain.",10,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,03,00,04,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming Foundations for Digital Media,Lecture,Digital Media - CPS,6108,06,4,21821,Wednesday,S,M,T,T,F,S,W,10:00 AM - 11:50 AM,Building: Snell Library,Room: 107,Start Date: 01/06/2025,End Date: 03/29/2025,Boston,"3 of 16 seats remain.
6 of 6 waitlist seats remain.",3,6,CPS-Professional Programs GR 1,Snell Library Lab Access,,10,00,11,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
