section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default (2),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (3),tooltip-row (5),tooltip-row (7),tooltip-row (9),readonly (7),readonly (8),status-bold,readonly (9),status-full,readonly (10),readonly (11),status-bold (2),status-waitlist,readonly (12),readonly (13),status-bold (3),readonly (14),readonly (15),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),ui-state-default (18),ui-state-default (25)
Programming in C++,Lecture,Computer Science,3520,02,4,41467,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,,FULL,Computer&Info Sci,FULL: 0 of 100 seats remain.,,,43,43 of 50 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Programming,Lecture,Computer Science,3540,01,4,41436,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,Online,5 of 75 seats remain.,5,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Systems,Lecture,Computer Science,3650,01,4,42303,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,03:20 PM - 05:00 PM,03,20,05,00,Type: Class,Building: Dodge Hall,Room: 119,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,51 of 60 seats remain.,51,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theory of Computation,Lecture,Computer Science,3800,01,4,41424,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,01:30 PM - 03:10 PM,01,30,03,10,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,"1 of 97 seats remain.
26 of 50 waitlist seats remain.
Open Seats Reserved for Waitlisted Only.",1,NU Core Math/Anly Think Lvl 2,,Computer&Info Sci,,26,,,,Open Seats Reserved for Waitlisted Only.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence,Lecture,Computer Science,4100,01,4,41977,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Richards Hall,Room: 458,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,35 of 97 seats remain.,35,NU Core Capstone,,NUpath Capstone Experience,NU Core Writing Intsv in Majr,,,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence,Lecture,Computer Science,4100,02,4,41989,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Natural Science,Room: 213,Start Date: 05/05/2025,End Date: 06/18/2025,"Oakland, CA",36 of 50 seats remain.,36,NU Core Capstone,,NUpath Capstone Experience,NU Core Writing Intsv in Majr,,,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,Lecture,Computer Science,4120,01,4,41411,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: Hurtig Hall,Room: 129,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,65 of 97 seats remain.,65,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Application Development,Lecture,Computer Science,4520,01,4,42003,"Tuesday,Thursday",M,W,T,F,S,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Building: Virtual Space- Online class,Room: ROOM,Start Date: 05/05/2025,End Date: 06/18/2025,Online,36 of 60 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Software Engineering,Lecture,Computer Science,4530,01,4,42010,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: West Village G,Room: 104,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,,FULL,NUpath Capstone Experience,FULL: 0 of 66 seats remain.,NUpath Writing Intensive,Computer&Info Sci,17,17 of 40 waitlist seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Fundamentals,Lecture,Computer Science,4700,01,4,41978,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: West Village G,Room: 106,Start Date: 05/05/2025,End Date: 06/18/2025,Boston,16 of 40 seats remain.,16,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics in Computer Science,Lecture,Computer Science,4973,03,4,42202,"Monday,Wednesday",M,W,T,F,S,01:30 PM - 03:40 PM,01,30,03,40,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/18/2025,"Seattle, WA",11 of 50 seats remain.,11,Topics Course,,Computer&Info Sci,,,,,,,,,Thursday,S,M,T,T,W,F,S,01:30 PM - 04:30 PM,01,30,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 05/05/2025,Start Date:,End Date: 06/18/2025,End Date:,,
Exploring AI Trends and Tools,Lecture,Computer Science,5047,01,4,42085,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,72 of 100 seats remain.,72,EDGE supported Section,,Performance Based Admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations of Artificial Intelligence,Lecture,Computer Science,5100,01,4,41979,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,11:40 AM - 01:20 PM,11,40,01,20,Type: Class,Building: Hurtig Hall,Room: 130,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,56 of 97 seats remain.,56,GSCS Computer & Info Science,,NU Core Capstone,NUpath Capstone Experience,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Database Management Systems,Lecture,Computer Science,5200,01,4,42207,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,"27 of 49 seats remain.
20 of 20 waitlist seats remain.",27,GSCS Computer & Info Science,,NUpath Analyzing/Using Data,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern Recognition and Computer Vision,Lecture,Computer Science,5330,01,4,42213,"Tuesday,Friday",M,W,T,S,F,01:00 PM - 04:20 PM,01,00,04,20,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"Silicon Valley, CA","13 of 30 seats remain.
10 of 10 waitlist seats remain.",13,GSCS Computer & Info Science,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer/Human Interaction,Lecture,Computer Science,5340,01,4,42035,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,45 of 79 seats remain.,45,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Development,Lecture,Computer Science,5610,01,4,42254,"Monday,Thursday",M,W,T,F,S,01:00 PM - 03:00 PM,01,00,03,00,Type: Class,Building: West Georgia,Room: 1524,Start Date: 05/05/2025,End Date: 06/28/2025,"Vancouver, Canada","27 of 30 seats remain.
10 of 10 waitlist seats remain.",27,GSCS Computer & Info Science,,NU Core Capstone,NUpath Capstone Experience,10,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web Development,Lecture,Computer Science,5610,04,4,41980,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,"32 of 89 seats remain.
50 of 50 waitlist seats remain.",32,GSCS Computer & Info Science,,NU Core Capstone,NUpath Capstone Experience,50,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Computer Networking,Lecture,Computer Science,5700,03,4,41981,"Monday,Tuesday,Wednesday,Thursday",M,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Building: West Village G,Room: 106,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,,FULL,GSCS Computer & Info Science,FULL: 0 of 30 seats remain.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine Learning,Lecture,Computer Science,6140,03,4,41982,"Tuesday,Wednesday",M,W,T,F,S,10:00 AM - 01:20 PM,10,00,01,20,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"Seattle, WA",18 of 25 seats remain.,18,GSCS Computer & Info Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Cloud Computing,Lecture,Computer Science,6620,01,4,42210,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Online,"6 of 69 seats remain.
40 of 40 waitlist seats remain.",6,GSCS Computer & Info Science,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,01,0,41254,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",5 of 5 seats remain.,5,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,02,0,41336,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,03,0,41337,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,04,0,41338,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,05,0,41339,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,06,0,41340,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,07,0,41341,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,08,0,41342,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Computer Science,6954,09,0,42055,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,01,0,41343,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,02,0,41344,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,03,0,41345,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,04,0,41346,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,05,0,41347,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,06,0,41348,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,07,0,41349,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,08,0,41350,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad - Half-Time,Individual Instruction,Computer Science,6955,09,0,42056,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,01,0,41131,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",99 of 99 seats remain.,99,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,02,0,41132,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,03,0,41133,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,04,0,41134,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",80 of 80 seats remain.,80,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,05,0,41136,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,06,0,41137,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",99 of 99 seats remain.,99,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,07,0,41138,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,08,0,41351,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",150 of 150 seats remain.,150,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience,Individual Instruction,Computer Science,6964,09,0,42057,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,01,0,41352,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,02,0,41353,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,03,0,41354,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,04,0,41355,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,05,0,41356,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,06,0,41357,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,07,0,41358,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,08,0,41359,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience Abroad,Individual Instruction,Computer Science,6965,09,0,42058,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",50 of 50 seats remain.,50,GSCS Computer & Info Science,,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master&#8217;s Project,Individual Instruction,Computer Science,8674,01,4,42268,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",,FULL,GSCS Computer & Info Science,FULL: 0 of 1 seats remain.,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Work Experience,Off-campus instruction,Computer Science,8949,01,0,42224,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"No campus, no room needed",,FULL,GSCS Computer & Info Science,FULL: 0 of 1 seats remain.,Full-time status,No Course Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deployment and Operation of Software Applications,Lecture,Computer Systems Engineering,7220,01,4,41285,"Tuesday,Thursday",M,W,T,F,S,01:30 PM - 05:00 PM,01,30,05,00,Type: Class,Building: Ryder Hall,Room: 435,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,"14 of 30 seats remain.
15 of 15 waitlist seats remain.",14,GSEN Engineering,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,01,0,41365,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,03,0,41366,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,04,0,41367,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,05,0,41368,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,06,0,41369,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,07,0,41370,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,08,0,41371,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,09,0,41372,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,Boston,50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-op Work Experience - Half-Time,Individual Instruction,Coop/Exper Ed - Arts/Med/Dsgn,6954,10,0,41373,None,M,W,T,F,S,-,,,,,Type: Class,Building: None,Room: None,Start Date: 05/05/2025,End Date: 06/28/2025,"Vancouver, Canada",50 of 50 seats remain.,50,"GS Col of Arts, Media & Design",,No Course Evaluation,Half-time Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
