section-details-link,expand,readonly,readonly (2),readonly (3),readonly (4),readonly (5),ui-pillbox-summary,ui-state-default,ui-state-default (2),ui-state-default (3),ui-state-default (4),ui-state-default (5),ui-state-default (6),ui-state-default (7),meeting,meeting (2),meeting (3),meeting (4),meeting (5),tooltip-row,tooltip-row (2),tooltip-row (3),tooltip-row (4),tooltip-row (5),tooltip-row (6),tooltip-row (7),tooltip-row (8),tooltip-row (9),tooltip-row (10),readonly (7),readonly (8),status-bold,readonly (9),readonly (10),ui-pillbox-summary (2),ui-state-default (8),ui-state-default (9),ui-state-default (10),ui-state-default (11),ui-state-default (12),ui-state-default (13),ui-state-default (14),meeting (6),meeting (7),meeting (8),meeting (9),meeting (10),tooltip-row (11),tooltip-row (12),tooltip-row (13),tooltip-row (14),tooltip-row (15),tooltip-row (16),tooltip-row (17),tooltip-row (18),tooltip-row (19),tooltip-row (20),status-bold (2),readonly (11),readonly (12),readonly (13),readonly (14),ui-pillbox-summary (3),ui-state-default (15),ui-state-default (16),ui-state-default (17),ui-state-default (18),ui-state-default (19),ui-state-default (20),ui-state-default (21),meeting (11),meeting (12),meeting (13),meeting (14),meeting (15),tooltip-row (21),tooltip-row (22),tooltip-row (23),tooltip-row (24),tooltip-row (25),tooltip-row (26),tooltip-row (27),tooltip-row (28),tooltip-row (29),tooltip-row (30),ui-state-default (26),tooltip-row (37),tooltip-row (39),tooltip-row (47),tooltip-row (49),ui-pillbox-summary (6),ui-state-default (36),ui-state-default (37),ui-state-default (38),ui-state-default (39),ui-state-default (40),ui-state-default (41),meeting (26),meeting (27),meeting (28),meeting (29),meeting (30),tooltip-row (51),tooltip-row (52),tooltip-row (53),tooltip-row (54),tooltip-row (55),tooltip-row (56),tooltip-row (57),tooltip-row (58),tooltip-row (59),tooltip-row (60),tooltip-row (67),tooltip-row (69),tooltip-row (77),tooltip-row (79),status-waitlist,readonly (15),status-full,readonly (16)
Recitation for CS 3000,Recitation/Discussion,Computer Science,3001,15,0,19625,Monday,S,M,T,W,T,F,S,03:00 PM - 04:30 PM,03,00,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,"Oakland, CA",15 of 15 seats remain.,15,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Design and Implementation 2,Lecture,Computer Science,3100,01,4,18421,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,160 of 160 seats remain.,160,NUpath Analyzing/Using Data,NUpath Natural/Designed World,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Design and Implementation 2,Lecture,Computer Science,3100,02,4,18422,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,04:35 PM - 05:40 PM,04,35,05,40,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,160 of 160 seats remain.,160,NUpath Analyzing/Using Data,NUpath Natural/Designed World,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Design and Implementation 2,Lecture,Computer Science,3100,03,4,18423,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,160 of 160 seats remain.,160,NUpath Analyzing/Using Data,NUpath Natural/Designed World,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Design and Implementation 2,Lecture,Computer Science,3100,04,4,18424,"Monday,Wednesday",S,M,T,W,T,F,S,11:50 AM - 01:30 PM,11,50,01,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,"Oakland, CA",15 of 15 seats remain.,15,NUpath Analyzing/Using Data,NUpath Natural/Designed World,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,01,1,18425,Thursday,S,M,T,W,T,F,S,07:05 PM - 08:40 PM,07,05,08,40,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,02,1,18426,Thursday,S,M,T,W,T,F,S,08:00 AM - 09:40 AM,08,00,09,40,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,03,1,18427,Thursday,S,M,T,W,T,F,S,08:00 AM - 09:40 AM,08,00,09,40,Type: Class,Type:,Building: West Village H,Building:,Room: 212,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,04,1,18428,Thursday,S,M,T,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,05,1,18429,Thursday,S,M,T,W,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,06,1,18430,Thursday,S,M,T,W,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,07,1,18431,Thursday,S,M,T,W,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: West Village H,Building:,Room: 212,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,08,1,18432,Thursday,S,M,T,W,T,F,S,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,09,1,18433,Thursday,S,M,T,W,T,F,S,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: West Village H,Building:,Room: 212,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,10,1,18434,Thursday,S,M,T,W,T,F,S,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,11,1,18435,Thursday,S,M,T,W,T,F,S,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Type:,Building: West Village H,Building:,Room: 212,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,12,1,18436,Thursday,S,M,T,W,T,F,S,05:15 PM - 06:55 PM,05,15,06,55,Type: Class,Type:,Building: West Village H,Building:,Room: 210B,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,36 of 36 seats remain.,36,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,13,1,18437,Thursday,S,M,T,W,T,F,S,05:15 PM - 06:55 PM,05,15,06,55,Type: Class,Type:,Building: West Village H,Building:,Room: 212,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab for CS 3100,Lab,Computer Science,3101,14,1,18438,Thursday,S,M,T,W,T,F,S,03:00 PM - 04:30 PM,03,00,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,"Oakland, CA",15 of 15 seats remain.,15,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Databases,Lecture,Computer Science,3200,01,4,13590,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,"175 of 175 seats remain.
50 of 50 waitlist seats remain.",175,NUpath Analyzing/Using Data,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Databases,Lecture,Computer Science,3200,02,4,11458,"Tuesday,Friday",S,M,W,T,T,S,F,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,113 of 113 seats remain.,113,NUpath Analyzing/Using Data,NUpath Formal/Quant Reasoning,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Databases,Lecture,Computer Science,3200,03,4,11812,"Tuesday,Friday",S,M,W,T,T,S,F,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,113 of 113 seats remain.,113,NUpath Analyzing/Using Data,NUpath Formal/Quant Reasoning,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming in C++,Lecture,Computer Science,3520,01,4,10991,"Monday,Thursday",S,M,T,W,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,113 of 113 seats remain.,113,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Systems,Lecture,Computer Science,3650,01,4,11156,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,125 of 125 seats remain.,125,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Systems,Lecture,Computer Science,3650,02,4,13026,Tuesday,S,M,W,T,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,73 of 73 seats remain.,73,Computer&Info Sci,,Thursday,S,M,T,W,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Systems,Lecture,Computer Science,3650,03,4,11460,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,04:35 PM - 05:40 PM,04,35,05,40,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,125 of 125 seats remain.,125,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theory of Computation,Lecture,Computer Science,3800,01,4,10276,"Tuesday,Friday",S,M,W,T,T,S,F,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,86 of 86 seats remain.,86,NU Core Math/Anly Think Lvl 2,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theory of Computation,Lecture,Computer Science,3800,03,4,14501,"Tuesday,Friday",S,M,W,T,T,S,F,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,86 of 86 seats remain.,86,NU Core Math/Anly Think Lvl 2,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theory of Computation,Lecture,Computer Science,3800,04,4,18439,"Tuesday,Friday",S,M,W,T,T,S,F,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,86 of 86 seats remain.,86,NU Core Math/Anly Think Lvl 2,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduction to Computer Science Research,Seminar,Computer Science,3950,01,2,12011,Tuesday,S,M,W,T,T,F,S,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,35 of 35 seats remain.,35,Topics Course,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence,Lecture,Computer Science,4100,01,4,10854,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,73 of 73 seats remain.,73,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence,Lecture,Computer Science,4100,02,4,13591,"Monday,Thursday",S,M,T,W,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,73 of 73 seats remain.,73,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence,Lecture,Computer Science,4100,03,4,14699,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,01:35 PM - 02:40 PM,01,35,02,40,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,73 of 73 seats remain.,73,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence,Lecture,Computer Science,4100,04,4,14919,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,73 of 73 seats remain.,73,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,Lecture,Computer Science,4120,01,4,11490,"Tuesday,Friday",S,M,W,T,T,S,F,03:25 PM - 05:05 PM,03,25,05,05,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,73 of 73 seats remain.,73,With Service Learning,NU Core Experiential Learning,,,,,,,,,,,,,,,,,,,,,,,,,NUpath Integration Experience,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,Lecture,Computer Science,4120,02,4,18440,Wednesday,S,M,T,W,T,F,S,06:00 PM - 09:20 PM,06,00,09,20,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering LLM-Integrated Systems,Lecture,Computer Science,4130,01,4,18441,"Tuesday,Friday",S,M,W,T,T,S,F,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,"49 of 49 seats remain.
30 of 30 waitlist seats remain.",49,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Graphics,Lecture,Computer Science,4300,01,4,10714,"Monday,Wednesday",S,M,T,W,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,49 of 49 seats remain.,49,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empirical Research Methods,Lecture,Computer Science,4350,01,4,18442,"Tuesday,Friday",S,M,W,T,T,S,F,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,15 of 15 seats remain.,15,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming Languages,Lecture,Computer Science,4400,02,4,11813,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,09:15 AM - 10:20 AM,09,15,10,20,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,30 of 30 seats remain.,30,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Programming Languages,Lecture,Computer Science,4400,03,4,13889,"Monday,Wednesday,Thursday",S,M,T,W,T,F,S,10:30 AM - 11:35 AM,10,30,11,35,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,30 of 30 seats remain.,30,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compilers,Lecture,Computer Science,4410,01,4,18443,"Monday,Wednesday",S,M,T,W,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,NU Core Capstone,NUpath Capstone Experience,,,,,,,,,,,,,,,,,,,,,,,,,NU Core Writing Intsv in Majr,NUpath Writing Intensive,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Application Development,Lecture,Computer Science,4520,10,4,18444,Tuesday,S,M,W,T,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,Boston,40 of 40 seats remain.,40,Computer&Info Sci,,Thursday,S,M,T,W,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/14/2025,End Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Software Engineering,Lecture,Computer Science,4530,01,4,13592,"Monday,Thursday",S,M,T,W,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,64 of 64 seats remain.,64,NUpath Capstone Experience,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Software Engineering,Lecture,Computer Science,4530,02,4,12376,"Tuesday,Friday",S,M,W,T,T,S,F,09:50 AM - 11:30 AM,09,50,11,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,64 of 64 seats remain.,64,NUpath Capstone Experience,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Software Engineering,Lecture,Computer Science,4530,05,4,13138,Tuesday,S,M,W,T,T,F,S,11:45 AM - 01:25 PM,11,45,01,25,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,64 of 64 seats remain.,64,NUpath Capstone Experience,NUpath Writing Intensive,Thursday,S,M,T,W,T,F,S,02:50 PM - 04:30 PM,02,50,04,30,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fundamentals of Software Engineering,Lecture,Computer Science,4530,07,4,13830,"Tuesday,Friday",S,M,W,T,T,S,F,01:35 PM - 03:15 PM,01,35,03,15,Type: Class,Type:,Building: None,Building:,Room: None,Room:,Start Date: 09/03/2025,Start Date:,End Date: 12/07/2025,End Date:,Boston,64 of 64 seats remain.,64,NUpath Capstone Experience,NUpath Writing Intensive,,,,,,,,,,,,,,,,,,,,,,,,,Computer&Info Sci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
